id,name,type,city,state,gstin,pan,phone,email
client_58,Adani Steel,client,Chennai,Jharkhand,23RMXBC3430C1ZI,HQOIZ9692J,+91 8948692883,contact@adanisteel.com
client_59,L&T Power,client,Nagpur,Rajasthan,37RWOWL4743N1ZV,VKSII5176L,+91 7655579180,contact@l&tpower.com
client_60,Bajaj Retail,client,Nashik,Haryana,12LTJDB6400V1ZH,KWYKX1842J,+91 9578741716,contact@bajajretail.com
client_61,Mahindra Logistics,client,Nagpur,Telangana,14RFCVJ5564S1ZO,UVZVP1430T,+91 9825363606,contact@mahindralogistics.com
client_62,Mahindra Steel,client,Noida,Tamil Nadu,32TXJED7566C1ZJ,TZCNJ8432K,+91 7676067682,contact@mahindrasteel.com
client_63,Jindal FMCG,client,Chandigarh,Uttar Pradesh,34YPWET1815V1ZF,HRMLH9394D,+91 8482506118,contact@jindalfmcg.com
client_64,Godrej Retail,client,Surat,Jammu & Kashmir,26RBKPA5938G1ZI,THDML3116M,+91 9287423767,contact@godrejretail.com
client_65,Birla Logistics,client,Nashik,Jharkhand,37TLLCI8033S1ZZ,SKCAI8538W,+91 8554145481,contact@birlalogistics.com
client_66,Reliance Power,client,Nagpur,Karnataka,23PNKII6456Y1ZK,BQNFU6752X,+91 9772156452,contact@reliancepower.com
client_67,Tata Industries,client,Nagpur,Gujarat,18FPTRE9095O1Z2,RWQZI6179E,+91 8888766939,contact@tataindustries.com
client_68,Reliance Infra,client,Bengaluru,West Bengal,35HBNIL1932L1ZS,BWWPN8581S,+91 9380770668,contact@relianceinfra.com
client_69,Adani Infra,client,Jammu,Telangana,20PNYLV6626W1ZF,NEGLL9564T,+91 7681809785,contact@adaniinfra.com
client_70,Jindal Logistics,client,Surat,Jharkhand,23URBQI6401D1Z9,RHSRX3463K,+91 7350048353,contact@jindallogistics.com
client_71,ITC Cements,client,Indore,West Bengal,30SKPYI7171U1ZV,VRVTR9624C,+91 9774655465,contact@itccements.com
client_72,Godrej Logistics,client,Mumbai,Bihar,19EFYMF3253E1ZE,HUNOT9626B,+91 9842964443,contact@godrejlogistics.com
client_73,Jindal Cements,client,Kanpur,Jharkhand,14EVUVE8170B1Z0,JSZPT8355H,+91 9293560436,contact@jindalcements.com
client_74,Birla FMCG,client,Jammu,Jammu & Kashmir,36FROLU7256Q1Z7,KEFPW1854U,+91 9064121137,contact@birlafmcg.com
client_75,Jindal Retail,client,Bhubaneswar,Rajasthan,19CELNV2502H1Z2,XYKKJ7326C,+91 8610237679,contact@jindalretail.com
client_76,Birla Steel,client,Vadodara,Rajasthan,36SIDAX8740W1ZI,TMPXA4533E,+91 9357096258,contact@birlasteel.com
client_77,ITC Power,client,Nagpur,West Bengal,17HBKUL2816P1Z8,ANGDL6780H,+91 9450982005,contact@itcpower.com
client_78,Godrej Cements,client,Ranchi,Haryana,26ZBNNZ1333M1Z4,BKJTJ2106L,+91 8035627944,contact@godrejcements.com
client_79,Reliance Logistics,client,Delhi,Delhi,21OVEUM8840U1ZL,VBULH1717Z,+91 7856716405,contact@reliancelogistics.com
client_80,Adani Logistics,client,Surat,Jharkhand,36OGTEJ1783U1ZV,HULKL7334K,+91 7802373824,contact@adanilogistics.com
vendor_fuel_1,Reliance Petroleum Bhubaneswar,vendor_fuel,Chennai,Bihar,35NUSCP3956R1ZS,ICRHP7981F,+91 9962517290,station@reliancepetroleumbhubaneswar.com
vendor_fuel_2,Reliance Petroleum Indore,vendor_fuel,Bengaluru,Delhi,33WJZHZ1939C1ZZ,JURYD8179B,+91 7542153826,station@reliancepetroleumindore.com
vendor_fuel_3,IndianOil Jaipur,vendor_fuel,Ludhiana,Bihar,21JOPRY7095O1ZE,ONKQG2858A,+91 7799070274,station@indianoiljaipur.com
vendor_fuel_4,Reliance Petroleum Coimbatore,vendor_fuel,Bhopal,Rajasthan,18USFPS9047G1ZH,DBESZ6236V,+91 8492180259,station@reliancepetroleumcoimbatore.com
vendor_fuel_5,Shell India Nashik,vendor_fuel,Kolkata,West Bengal,19WSYQU9335H1ZH,ZUGMJ7044O,+91 9369305560,station@shellindianashik.com
vendor_fuel_6,Bharat Petroleum Kanpur,vendor_fuel,Nashik,Haryana,19KSMKK2208E1ZU,QLRIW3981Y,+91 7554192345,station@bharatpetroleumkanpur.com
vendor_fuel_7,Reliance Petroleum Coimbatore,vendor_fuel,Pune,Rajasthan,26DEISI9501J1ZF,GQODH9740C,+91 9158535229,station@reliancepetroleumcoimbatore.com
vendor_fuel_8,Shell India Noida,vendor_fuel,Lucknow,Gujarat,15RSPVO1464C1ZC,YUGFO1496P,+91 9693648923,station@shellindianoida.com
vendor_fuel_9,Nayara Energy Surat,vendor_fuel,Patna,West Bengal,25GUKLR3589O1Z0,MFPIS6658M,+91 7561636336,station@nayaraenergysurat.com
vendor_fuel_10,HP Coimbatore,vendor_fuel,Kolkata,Rajasthan,20GDLDB7293T1Z0,GWEIP6123G,+91 7684370461,station@hpcoimbatore.com
vendor_fuel_11,Reliance Petroleum Coimbatore,vendor_fuel,Bengaluru,Jammu & Kashmir,19MCKLG6781B1ZD,HPVRH1133D,+91 8850820685,station@reliancepetroleumcoimbatore.com
vendor_fuel_12,Bharat Petroleum Ahmedabad,vendor_fuel,Chandigarh,Bihar,34KBBOJ5728C1ZY,NTHZR2946E,+91 7415243819,station@bharatpetroleumahmedabad.com
vendor_fuel_13,Reliance Petroleum Indore,vendor_fuel,Jammu,Uttar Pradesh,27YTFNN1742B1ZI,SUNDX3290K,+91 9633107545,station@reliancepetroleumindore.com
vendor_fuel_14,HP Noida,vendor_fuel,Bhopal,West Bengal,28IVNSH1272L1ZV,RZPUS1436T,+91 9038349447,station@hpnoida.com
vendor_fuel_15,HP Patna,vendor_fuel,Jammu,Karnataka,33BMNSU7229E1ZP,AYCAI3481N,+91 9965676060,station@hppatna.com
vendor_fuel_16,Bharat Petroleum Hyderabad,vendor_fuel,Coimbatore,Jammu & Kashmir,37WSSNO8837Q1ZY,IEXIJ5331T,+91 9079537716,station@bharatpetroleumhyderabad.com
vendor_fuel_17,Bharat Petroleum Jaipur,vendor_fuel,Ahmedabad,West Bengal,17YZUSR9011K1Z4,JYUHD9899M,+91 8694503971,station@bharatpetroleumjaipur.com
vendor_fuel_18,HP Ludhiana,vendor_fuel,Jammu,Gujarat,19BYCYR8849G1ZM,VHOHC4920H,+91 7218035843,station@hpludhiana.com
vendor_fuel_19,Shell India Coimbatore,vendor_fuel,Jaipur,Karnataka,11CIMRD3587N1Z4,MFZIQ2465U,+91 9465883999,station@shellindiacoimbatore.com
vendor_fuel_20,Bharat Petroleum Kolkata,vendor_fuel,Chandigarh,Delhi,15KVYAV9116F1ZS,WAOCZ5662O,+91 9754415831,station@bharatpetroleumkolkata.com
vendor_fuel_21,Nayara Energy Coimbatore,vendor_fuel,Chennai,Gujarat,37NHVIT5215W1ZL,AIHRF7643N,+91 9213113588,station@nayaraenergycoimbatore.com
vendor_fuel_22,HP Nashik,vendor_fuel,Bhopal,Rajasthan,15ZMYAJ8319Y1ZR,YHSAQ4871B,+91 9868119543,station@hpnashik.com
vendor_fuel_23,IndianOil Bengaluru,vendor_fuel,Surat,Madhya Pradesh,22RYXUR5833L1ZO,FDDTP7813W,+91 9358944233,station@indianoilbengaluru.com
vendor_fuel_24,Reliance Petroleum Ludhiana,vendor_fuel,Kolkata,Telangana,34GTWCL6927C1ZH,BONOD6375Q,+91 8897690739,station@reliancepetroleumludhiana.com
vendor_fuel_25,IndianOil Ranchi,vendor_fuel,Gurugram,Jammu & Kashmir,12XLBDK1945R1Z3,RIAGA4570S,+91 7313659437,station@indianoilranchi.com
vendor_fuel_26,IndianOil Hyderabad,vendor_fuel,Indore,Haryana,27ZYBYA7698F1ZI,TZQKZ7266O,+91 8621334484,station@indianoilhyderabad.com
vendor_fuel_27,Reliance Petroleum Nashik,vendor_fuel,Ranchi,Gujarat,30WDZKD4648A1ZB,ZMSLJ4762H,+91 8978370498,station@reliancepetroleumnashik.com
vendor_fuel_28,HP Delhi,vendor_fuel,Ahmedabad,Telangana,33TARPY1256H1ZN,BPLRW5009X,+91 7189995314,station@hpdelhi.com
vendor_fuel_29,Reliance Petroleum Bengaluru,vendor_fuel,Jaipur,Telangana,34WBNHV6224S1ZU,GWZNK5508B,+91 9391086093,station@reliancepetroleumbengaluru.com
vendor_fuel_30,Nayara Energy Chandigarh,vendor_fuel,Noida,Odisha,27MZYRU6222W1Z0,KHENG4692J,+91 7619986018,station@nayaraenergychandigarh.com
vendor_fuel_31,Reliance Petroleum Pune,vendor_fuel,Kolkata,Odisha,23ODGFQ8369L1ZF,NVBJP1647C,+91 7808155185,station@reliancepetroleumpune.com
vendor_fuel_32,Nayara Energy Chandigarh,vendor_fuel,Ranchi,Telangana,25FXHXF4113X1ZH,TTXSS7498H,+91 9371162526,station@nayaraenergychandigarh.com
vendor_fuel_33,HP Ludhiana,vendor_fuel,Surat,Jharkhand,24NJGNM2615Z1Z4,TIFIB4625X,+91 7626733282,station@hpludhiana.com
vendor_fuel_34,IndianOil Ahmedabad,vendor_fuel,Kolkata,Odisha,19DIJVM6530I1Z5,ZQMEU3773E,+91 9347398593,station@indianoilahmedabad.com
vendor_fuel_35,Reliance Petroleum Noida,vendor_fuel,Kolkata,Delhi,26AWYRT7756E1ZO,BDFLB8916V,+91 9095318649,station@reliancepetroleumnoida.com
vendor_fuel_36,IndianOil Mumbai,vendor_fuel,Kolkata,Odisha,10ASNHN8054Z1ZL,CCDEN6807I,+91 8704657157,station@indianoilmumbai.com
vendor_fuel_37,IndianOil Indore,vendor_fuel,Bhopal,Punjab,28GSHVC1519C1ZZ,JOBAE9189N,+91 9769855512,station@indianoilindore.com
vendor_fuel_38,HP Lucknow,vendor_fuel,Nagpur,Delhi,17FWXMB2218V1ZR,XOAYI4394S,+91 7619298045,station@hplucknow.com
vendor_fuel_39,Shell India Bhopal,vendor_fuel,Nashik,West Bengal,15OOWRO7288Y1ZI,URCTI2600N,+91 7997050893,station@shellindiabhopal.com
vendor_fuel_40,IndianOil Vadodara,vendor_fuel,Kanpur,Jharkhand,34IQULF7150N1ZL,RRCQU2204C,+91 8150931110,station@indianoilvadodara.com
vendor_fuel_41,Bharat Petroleum Bhopal,vendor_fuel,Bhubaneswar,Gujarat,33KJCYL5419D1ZI,CLONC2468L,+91 9380355948,station@bharatpetroleumbhopal.com
vendor_fuel_42,IndianOil Kanpur,vendor_fuel,Kanpur,Uttar Pradesh,37KHKCX4977S1Z7,EJDHM2036F,+91 8866920369,station@indianoilkanpur.com
vendor_fuel_43,HP Hyderabad,vendor_fuel,Surat,Jammu & Kashmir,35BGGQP4203O1ZG,DAKVJ6399O,+91 8437681124,station@hphyderabad.com
vendor_fuel_44,Reliance Petroleum Patna,vendor_fuel,Kanpur,Gujarat,19IYFIZ6228J1Z5,ZUIHU6980D,+91 9421719519,station@reliancepetroleumpatna.com
vendor_fuel_45,Bharat Petroleum Lucknow,vendor_fuel,Kolkata,Madhya Pradesh,31TASYF5773W1ZE,VUKMQ4965I,+91 9828935922,station@bharatpetroleumlucknow.com
vendor_fuel_46,Bharat Petroleum Bhubaneswar,vendor_fuel,Hyderabad,Jharkhand,12LPPNY7853R1ZC,UJXNQ2392D,+91 8066143895,station@bharatpetroleumbhubaneswar.com
vendor_fuel_47,Shell India Ranchi,vendor_fuel,Indore,Madhya Pradesh,30POQQZ6432Z1Z1,CCFTO4621O,+91 8606831312,station@shellindiaranchi.com
vendor_fuel_48,Reliance Petroleum Bengaluru,vendor_fuel,Ludhiana,Gujarat,21ZMHXC3321L1ZT,IUNJC8412K,+91 7288511612,station@reliancepetroleumbengaluru.com
vendor_fuel_49,HP Pune,vendor_fuel,Jammu,Rajasthan,10WQREZ4996Q1ZL,OILMU4022F,+91 9750835809,station@hppune.com
vendor_fuel_50,Shell India Hyderabad,vendor_fuel,Bhopal,Maharashtra,33PFPKS4371I1ZE,PUNJF2867I,+91 9880640679,station@shellindiahyderabad.com
vendor_maint_1,Local Garage Coimbatore,vendor_maint,Patna,Uttar Pradesh,29KKCJL3826V1ZT,XPRIG2916F,+91 8603337351,garage@localgaragecoimbatore.com
vendor_maint_2,MyTVS Coimbatore,vendor_maint,Bhopal,Odisha,29DJEQS3838R1ZK,MDILB6882A,+91 9081379485,garage@mytvscoimbatore.com
vendor_maint_3,MyTVS Gurugram,vendor_maint,Bhopal,Jammu & Kashmir,23RKVMC1505Z1ZO,HHNEL9115R,+91 9193894984,garage@mytvsgurugram.com
vendor_maint_4,TVS Automobile Solutions Lucknow,vendor_maint,Nagpur,Tamil Nadu,34OZOTT8231R1ZN,ZCVTH1528O,+91 8128782794,garage@tvsautomobilesolutionslucknow.com
vendor_maint_5,Bosch Car Service Nashik,vendor_maint,Bengaluru,Rajasthan,34VFTRW8015F1ZI,UVUON9827F,+91 8390081665,garage@boschcarservicenashik.com
vendor_maint_6,Bosch Car Service Surat,vendor_maint,Lucknow,Tamil Nadu,37NXVDT7743B1ZR,WDWGS5055Y,+91 9904405303,garage@boschcarservicesurat.com
vendor_maint_7,Local Garage Chennai,vendor_maint,Delhi,Tamil Nadu,30KLQWC9447X1ZR,SWLMP2526X,+91 8969024554,garage@localgaragechennai.com
vendor_maint_8,Bosch Car Service Nashik,vendor_maint,Jammu,Jharkhand,16ZVMIH9967S1ZI,OMIRB2631U,+91 8973888646,garage@boschcarservicenashik.com
vendor_maint_9,TVS Automobile Solutions Nagpur,vendor_maint,Noida,Punjab,24AYFRD5945F1ZR,CJCRQ1848M,+91 9686949912,garage@tvsautomobilesolutionsnagpur.com
vendor_maint_10,Bosch Car Service Chandigarh,vendor_maint,Bhubaneswar,Karnataka,23RSAMD4705Q1Z2,ASVZK3165P,+91 7304205279,garage@boschcarservicechandigarh.com
vendor_maint_11,MyTVS Bhopal,vendor_maint,Nashik,Rajasthan,13IWDUT3181U1ZJ,BOPEJ4490U,+91 7650146942,garage@mytvsbhopal.com
vendor_maint_12,Local Garage Kanpur,vendor_maint,Ranchi,Punjab,37FXDDS6759N1ZU,UGQGP5668Y,+91 9965572185,garage@localgaragekanpur.com
vendor_maint_13,TVS Automobile Solutions Ranchi,vendor_maint,Surat,Telangana,26PEKQU4921P1ZY,CMPNZ6916K,+91 7566862173,garage@tvsautomobilesolutionsranchi.com
vendor_maint_14,Local Garage Lucknow,vendor_maint,Hyderabad,Bihar,27RTYUA2106A1ZQ,FXYKH9209Y,+91 8784266819,garage@localgaragelucknow.com
vendor_maint_15,Local Garage Bhubaneswar,vendor_maint,Bhopal,Haryana,30NQHIN4329Z1ZJ,NKQVR2083J,+91 8878988236,garage@localgaragebhubaneswar.com
vendor_maint_16,MyTVS Pune,vendor_maint,Jaipur,Haryana,23DPBRR3877D1ZA,SSEYN5247F,+91 8597167064,garage@mytvspune.com
vendor_maint_17,MyTVS Chandigarh,vendor_maint,Ludhiana,Tamil Nadu,33XUAUH2046I1ZE,MNBWE3577I,+91 7441973220,garage@mytvschandigarh.com
vendor_maint_18,Authorized Service Center Ranchi,vendor_maint,Chandigarh,Rajasthan,17TAWAB6963M1ZJ,EYAUS7870H,+91 8382129132,garage@authorizedservicecenterranchi.com
vendor_maint_19,MyTVS Hyderabad,vendor_maint,Chandigarh,Uttar Pradesh,18VODRB4656Z1Z7,ZYBMH6090K,+91 7371022983,garage@mytvshyderabad.com
vendor_maint_20,Authorized Service Center Bengaluru,vendor_maint,Mumbai,Bihar,16HUTGJ9083Y1ZM,TOUDY1391H,+91 9325918921,garage@authorizedservicecenterbengaluru.com
vendor_maint_21,Bosch Car Service Patna,vendor_maint,Bhubaneswar,Maharashtra,20ARWSC9680H1Z0,MBZSC4792Q,+91 8774065466,garage@boschcarservicepatna.com
vendor_maint_22,Bosch Car Service Bengaluru,vendor_maint,Chandigarh,Haryana,28CDVBO8126V1ZI,GGIUS6345K,+91 8944580162,garage@boschcarservicebengaluru.com
vendor_maint_23,Bosch Car Service Jaipur,vendor_maint,Nashik,Telangana,14UPEEM7660D1Z8,JULMW2481F,+91 9946583125,garage@boschcarservicejaipur.com
vendor_maint_24,Bosch Car Service Bhubaneswar,vendor_maint,Bhubaneswar,Delhi,16VICGJ9412B1ZT,GZAKL5093D,+91 8984460654,garage@boschcarservicebhubaneswar.com
vendor_maint_25,TVS Automobile Solutions Jammu,vendor_maint,Jammu,Gujarat,13AVZDV7098V1ZF,PGVAB8265Z,+91 7553155490,garage@tvsautomobilesolutionsjammu.com
vendor_maint_26,TVS Automobile Solutions Jammu,vendor_maint,Vadodara,Rajasthan,11YBYLS9128A1ZY,REFEH3435B,+91 9637567649,garage@tvsautomobilesolutionsjammu.com
vendor_maint_27,Authorized Service Center Kanpur,vendor_maint,Jaipur,West Bengal,25KOBHD4267U1Z7,GZOAJ6883P,+91 9338686158,garage@authorizedservicecenterkanpur.com
vendor_maint_28,Local Garage Indore,vendor_maint,Lucknow,Uttar Pradesh,22HAPAV5602B1Z4,NTZZC4951I,+91 9292179207,garage@localgarageindore.com
vendor_maint_29,TVS Automobile Solutions Ludhiana,vendor_maint,Jaipur,Jharkhand,21YZEGI6878S1ZB,SJODY9064R,+91 8327372855,garage@tvsautomobilesolutionsludhiana.com
vendor_maint_30,MyTVS Chennai,vendor_maint,Pune,Haryana,11GFNAX4300Z1ZI,IEUWB3420S,+91 7608393560,garage@mytvschennai.com
vendor_maint_31,TVS Automobile Solutions Coimbatore,vendor_maint,Indore,Haryana,21SRPII3580X1Z1,UYQEZ6846H,+91 9858436754,garage@tvsautomobilesolutionscoimbatore.com
vendor_maint_32,Authorized Service Center Noida,vendor_maint,Bhopal,West Bengal,33RDSYY7415Y1ZC,EIVPQ2705P,+91 7604058666,garage@authorizedservicecenternoida.com
vendor_maint_33,Bosch Car Service Chandigarh,vendor_maint,Nashik,Karnataka,21ZEXCS6500O1ZA,GGBGC1020B,+91 8657587204,garage@boschcarservicechandigarh.com
vendor_maint_34,Local Garage Chandigarh,vendor_maint,Hyderabad,Madhya Pradesh,23MJOCM4695F1Z2,BVHIY2215K,+91 7730596287,garage@localgaragechandigarh.com
vendor_maint_35,Local Garage Noida,vendor_maint,Chandigarh,Haryana,27YZIZX1507N1ZK,PLBIZ7705W,+91 9379894770,garage@localgaragenoida.com
vendor_maint_36,Authorized Service Center Ahmedabad,vendor_maint,Ranchi,West Bengal,19GBOVD6911A1Z1,CVQMC4390F,+91 9741008001,garage@authorizedservicecenterahmedabad.com
vendor_maint_37,Bosch Car Service Nashik,vendor_maint,Chennai,Rajasthan,19UMXGQ7349F1ZX,XJLGM4706I,+91 9423420650,garage@boschcarservicenashik.com
vendor_maint_38,TVS Automobile Solutions Delhi,vendor_maint,Ludhiana,Rajasthan,12RVKTF1999M1Z7,KNWMW8803J,+91 7339109365,garage@tvsautomobilesolutionsdelhi.com
vendor_maint_39,Local Garage Bhubaneswar,vendor_maint,Pune,Gujarat,13YLYEF4157E1ZC,LZLZQ5225K,+91 7287814151,garage@localgaragebhubaneswar.com
vendor_maint_40,TVS Automobile Solutions Bhopal,vendor_maint,Kolkata,Jharkhand,27IHLWU9561Z1Z0,CDOPZ2641D,+91 9416708343,garage@tvsautomobilesolutionsbhopal.com
vendor_maint_41,TVS Automobile Solutions Jammu,vendor_maint,Surat,Bihar,23GROME7602E1ZZ,BXIGT5400L,+91 7086899610,garage@tvsautomobilesolutionsjammu.com
vendor_maint_42,Bosch Car Service Jammu,vendor_maint,Surat,West Bengal,18VWRZF5923X1Z2,UISPC8237G,+91 8748783374,garage@boschcarservicejammu.com
vendor_maint_43,Local Garage Ludhiana,vendor_maint,Coimbatore,Bihar,36BUBSK9589S1ZB,EWFBA1828L,+91 7855169963,garage@localgarageludhiana.com
